X,Y,Z,formation
583122.78,5245230.93,1871.0,Drusberg
583253.77,5245525.72,1746.0,Drusberg
583580.67,5246263.38,1624.0,Drusberg
583852.86,5246876.55,1521.0,Drusberg
583905.77,5247005.54,1506.0,Drusberg
584001.68,5247223.82,1526.0,Drusberg
584124.05,5247498.33,1613.0,Drusberg
584236.5,5247746.37,1710.0,Drusberg
584300.07,5247880.64,1802.0,Drusberg
584339.03,5247964.65,1682.0,Drusberg
584448.83,5248234.2,1195.0,Drusberg
584508.03,5248353.39,1198.0,Drusberg
583037.05,5245032.5,2176.0,Garschella
583852.86,5246876.55,1832.0,Garschella
583905.77,5247005.54,1817.0,Garschella
584034.87,5244510.77,1987.0,Garschella
584124.05,5247498.33,1939.0,Garschella
584156.57,5244792.56,2095.0,Garschella
584230.66,5244957.92,2043.0,Garschella
584276.96,5245069.05,1906.0,Garschella
584300.07,5247880.64,2107.0,Garschella
584336.58,5247963.19,2107.0,Garschella
584400.65,5245345.8,1838.0,Garschella
584448.83,5248234.2,1855.0,Garschella
584508.03,5248353.39,1538.0,Garschella
584508.36,5248356.57,1548.0,Garschella
584583.22,5245766.49,1883.0,Garschella
584608.35,5245820.73,1867.0,Garschella
584766.18,5246179.77,1776.0,Garschella
584926.25,5246546.22,1656.0,Garschella
584939.86,5243812.63,1563.0,Garschella
585012.24,5246740.69,1717.0,Garschella
585068.97,5244108.96,1627.0,Garschella
585124.87,5247107.74,1838.0,Garschella
585262.45,5247610.45,1996.0,Garschella
585270.06,5244557.69,1602.0,Garschella
585325.95,5247845.93,2020.0,Garschella
585337.79,5244705.86,1551.0,Garschella
585389.45,5248082.34,1547.0,Garschella
585399.17,5244851.91,1546.0,Garschella
585405.33,5248139.22,1582.0,Garschella
585459.57,5248344.28,1725.0,Garschella
585474.28,5243508.74,1279.0,Garschella
585509.24,5245093.21,1620.0,Garschella
585530.41,5245154.59,1642.0,Garschella
585663.76,5245453.05,1617.0,Garschella
585717.17,5243683.37,1313.0,Garschella
585861.64,5243781.79,1286.0,Garschella
585864.84,5245897.55,1567.0,Garschella
585983.37,5246166.36,1487.0,Garschella
586009.27,5243888.15,1265.0,Garschella
586034.17,5246282.78,1482.0,Garschella
586127.31,5246492.33,1542.0,Garschella
586192.92,5246644.73,1556.0,Garschella
586209.3,5244032.62,1277.0,Garschella
586260.66,5246797.13,1583.0,Garschella
586359.48,5244139.61,1290.0,Garschella
586482.91,5247298.78,1719.0,Garschella
586525.24,5247387.68,1726.0,Garschella
586618.38,5247597.23,1609.0,Garschella
586735.71,5244404.73,1214.0,Garschella
586749.61,5247893.57,1486.0,Garschella
586789.83,5247986.7,1534.0,Garschella
586913.51,5244531.73,1171.0,Garschella
586970.66,5244573.0,1154.0,Garschella
587091.32,5244653.96,1170.0,Garschella
587202.44,5244738.1,1200.0,Garschella
587612.65,5245030.52,1139.0,Garschella
588053.98,5245343.26,1048.0,Garschella
588566.9,5245775.95,1123.0,Garschella
588674.19,5245957.16,1122.0,Garschella
588928.19,5246386.84,889.0,Garschella
589091.18,5246657.78,998.0,Garschella
589311.05,5247024.75,1142.0,Garschella
583037.05,5245032.5,2055.0,Schrattenkalk
583122.78,5245230.93,2086.0,Schrattenkalk
583145.82,5245276.48,2076.0,Schrattenkalk
583199.8,5245400.31,2020.0,Schrattenkalk
583253.77,5245525.72,1986.0,Schrattenkalk
583309.33,5245647.96,1918.0,Schrattenkalk
583362.38,5245773.9,1897.0,Schrattenkalk
583580.67,5246263.38,1839.0,Schrattenkalk
583852.86,5246876.55,1736.0,Schrattenkalk
583905.77,5247005.54,1721.0,Schrattenkalk
584034.87,5244510.77,1871.0,Schrattenkalk
584124.05,5247498.33,1843.0,Schrattenkalk
584156.57,5244792.56,1985.0,Schrattenkalk
584230.66,5244957.92,1868.0,Schrattenkalk
584276.96,5245069.05,1711.0,Schrattenkalk
584300.07,5247880.64,2032.0,Schrattenkalk
584336.58,5247963.19,2027.0,Schrattenkalk
584400.65,5245345.8,1742.0,Schrattenkalk
584448.83,5248234.2,1475.0,Schrattenkalk
584508.03,5248353.39,1428.0,Schrattenkalk
584583.22,5245766.49,1782.0,Schrattenkalk
584608.35,5245820.73,1766.0,Schrattenkalk
584766.18,5246179.77,1660.0,Schrattenkalk
584926.25,5246546.22,1545.0,Schrattenkalk
584939.86,5243812.63,1438.0,Schrattenkalk
585012.24,5246740.69,1611.0,Schrattenkalk
585068.97,5244108.96,1487.0,Schrattenkalk
585124.87,5247107.74,1742.0,Schrattenkalk
585262.45,5247610.45,1900.0,Schrattenkalk
585270.06,5244557.69,1482.0,Schrattenkalk
585337.79,5244705.86,1421.0,Schrattenkalk
585389.45,5248082.34,1447.0,Schrattenkalk
585399.17,5244851.91,1435.0,Schrattenkalk
585405.33,5248139.22,1482.0,Schrattenkalk
585459.57,5248344.28,1630.0,Schrattenkalk
585474.28,5243508.74,1179.0,Schrattenkalk
585509.24,5245093.21,1514.0,Schrattenkalk
585530.41,5245154.59,1541.0,Schrattenkalk
585663.76,5245453.05,1516.0,Schrattenkalk
585717.17,5243683.37,1207.0,Schrattenkalk
585861.64,5243781.79,1170.0,Schrattenkalk
585864.84,5245897.55,1441.0,Schrattenkalk
585983.37,5246166.36,1372.0,Schrattenkalk
586009.27,5243888.15,1139.0,Schrattenkalk
586034.17,5246282.78,1366.0,Schrattenkalk
586127.31,5246492.33,1441.0,Schrattenkalk
586192.92,5246644.73,1445.0,Schrattenkalk
586209.3,5244032.62,1171.0,Schrattenkalk
586260.66,5246797.13,1502.0,Schrattenkalk
586359.48,5244139.61,1184.0,Schrattenkalk
586482.91,5247298.78,1603.0,Schrattenkalk
586525.24,5247387.68,1615.0,Schrattenkalk
586618.38,5247597.23,1488.0,Schrattenkalk
586735.71,5244404.73,1108.0,Schrattenkalk
586749.61,5247893.57,1395.0,Schrattenkalk
586789.83,5247986.7,1408.0,Schrattenkalk
586913.51,5244531.73,1041.0,Schrattenkalk
586970.66,5244573.0,1044.0,Schrattenkalk
587091.32,5244653.96,1065.0,Schrattenkalk
587202.44,5244738.1,1095.0,Schrattenkalk
587612.65,5245030.52,1034.0,Schrattenkalk
588053.98,5245343.26,943.0,Schrattenkalk
588566.9,5245775.95,1013.0,Schrattenkalk
588674.19,5245957.16,1002.0,Schrattenkalk
588928.19,5246386.84,789.0,Schrattenkalk
589091.18,5246657.78,888.0,Schrattenkalk
589311.05,5247024.75,1037.0,Schrattenkalk
