X,Y,Z,formation
0,0,800,rock1
0,0,200,rock1
100,0,790,rock1
100,0,210,rock1
200,0,780,rock1
200,0,220,rock1
300,0,770,rock1
300,0,230,rock1
400,0,760,rock1
400,0,240,rock1
700,0,500,rock1
700,20,500,rock1
0,20,800,rock1
0,20,200,rock1
100,20,790,rock1
100,20,210,rock1
200,20,780,rock1
200,20,220,rock1
300,20,770,rock1
300,20,230,rock1
400,20,760,rock1
400,20,240,rock1
0,0,600,rock2
0,0,400,rock2
100,0,590,rock2
100,0,410,rock2
200,0,580,rock2
200,0,420,rock2
300,0,570,rock2
300,0,430,rock2
400,0,560,rock2
400,0,440,rock2
0,20,600,rock2
0,20,400,rock2
100,20,590,rock2
100,20,410,rock2
200,20,580,rock2
200,20,420,rock2
300,20,570,rock2
300,20,430,rock2
400,20,560,rock2
400,20,440,rock2
