X,Y,Z,formation
0,0,300,rock1
0,200,300,rock1
0,400,300,rock1
0,600,300,rock1
0,800,300,rock1
0,1000,300,rock1
500,0,375,rock1
500,200,375,rock1
500,400,375,rock1
500,600,375,rock1
500,800,375,rock1
500,1000,375,rock1
1000,0,450,rock1
1000,200,450,rock1
1000,400,450,rock1
1000,600,450,rock1
1000,800,450,rock1
1000,1000,450,rock1
0,0,700,rock2
0,200,700,rock2
0,400,700,rock2
0,600,700,rock2
0,800,700,rock2
0,1000,700,rock2
500,0,625,rock2
500,200,625,rock2
500,400,625,rock2
500,600,625,rock2
500,800,625,rock2
500,1000,625,rock2
1000,0,550,rock2
1000,200,550,rock2
1000,400,550,rock2
1000,600,550,rock2
1000,800,550,rock2
1000,1000,550,rock2
